No.	품목	규격	서울	10동	자스민	9연동	곤지암	대관령	평창	재고합계	올해판매량	지난해 판매량	생산량	폐기량	출고예정	분갈이	삽목	출고예정B	기타
102	베이(월계수)	특대	6	0	0	0	0	0	0	6	0	0	0	0	0				
103	벨가못	10cm	15	0	0	0	0	0	0	15	0	310	503	0	50				
104	벨가못	18cm	13	0	0	0	0	0	0	13	0	1	84	0	0				
105	병풀	10cm	1630	0	0	0	0	0	0	1630	0	90	2340	0	0				
106	보리지	10cm	90	0	0	0	0	0	0	90	0	46	587	0	0				
107	보리지	18cm	88	0	0	0	0	0	0	88	0	148	192	0	0				
108	보리지	24cm	80	0	0	0	0	0	0	80	0	0	80	0	0				
109	보리지	30cm	10	0	0	0	0	0	0	10	0	0	10	0	0				
110	분홍낮달맞이	10cm	140	0	0	0	0	0	0	140	0	0	140	0	0				
111	비올라	10cm	0	0	0	0	0	0	0	0	0	0	8650	0	0				대관령
112	비올라	15cm	960	0	0	0	0	0	0	960	100	115	100	0	0				
113	산토리나	10cm	0	0	0	210	0	0	0	210	20	295	300	0	0		100		
114	산토리나	18cm	0	0	0	192	0	0	0	192	0	162	225	0	0				
115	산토리나	24cm	48	0	0	12	0	0	0	60	0	9	72	0	0				
116	산토리나	30cm	0	0	0	3	0	0	0	3	0	0	0	0	0				
117	서던우드	10cm	0	0	0	0	0	0	0	0	0	0	100	0	0				
118	서던우드	18cm	84	0	0	0	0	0	0	84	0	62	79	0	0				
119	서던우드	24cm	5	0	0	0	0	0	0	5	0	0	0	0	0				
120	세인트존스워트	10cm	177	0	0	0	0	0	0	177	0	103	280	0	0				
121	스위트라벤다	10cm	0	417	0	0	0	0	0	417	0	2	2640	0	0		300		
122	스위트라벤다	18cm	42	1903	0	0	0	0	0	1945	47	1954	2055	0	0				
123	스위트라벤다	24cm	51	302	0	0	0	0	0	353	6	720	726	0	0				
124	스위트라벤다	30cm	6	106	0	0	0	0	0	112	2	129	128	0	5				
125	스위트라벤다	특대	0	0	0	0	0	0	0	0	0	0	0	0	0				
126	스위트라벤다외대	18cm	6	0	0	0	0	0	0	6	0	7	0	0	0				
127	스위트라벤다외대	24cm	10	0	0	0	0	0	0	10	0	19	2	0	0				
128	스위트바질	10cm	0	0	0	0	0	0	0	0	0	4263	5406	0	0				
129	스탠다드유칼리	10cm	0	0	0	0	0	0	0	0	0	1	80	0	0				
130	스탠다드유칼리	18cm	1	0	0	0	0	0	0	1	0	27	77	0	0				
131	스탠다드유칼리	24cm	8	0	0	0	0	0	0	8	0	0	10	0	0				
132	스탠다드유칼리	특대	2	0	0	0	0	0	0	2	0	0	2	0	0				
133	스테비아	10cm	15	0	0	0	0	0	0	15	0	112	140	0	0				
134	스테비아	15cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
135	스테비아	18cm	20	0	0	130	0	0	0	150	0	26	158	0	50				
136	스토크	10cm	0	0	0	0	0	0	0	0	0	3	320	0	0				폐기
137	스피아민트	10cm	3364	0	0	1900	0	0	0	5264	100	8249	15480	0	5050		10000		
138	스피아민트	18cm	14	0	0	0	0	0	0	14	4	35	80	0	0				
139	실버세이지	10cm	60	0	0	0	0	0	0	60	0	48	0	0	0				
140	실버세이지	18cm	52	0	0	0	0	0	0	52	0	60	100	0	0				
141	실버타임	10cm	205	0	0	0	0	0	0	205	0	240	320	0	0				
142	실버타임	18cm	103	0	0	0	0	0	0	103	0	88	243	0	0				
143	아니스히솝	10cm	192	0	0	0	0	0	0	192	0	8	200	0	0				
144	아르니카	10cm	20	0	0	0	0	0	0	20	0	0	20	0	0				
145	아스터	10cm	190	0	0	0	0	0	0	190	0	0	190	0	0				
146	아티초크	10cm	76	0	0	0	0	0	0	76	20	37	160	0	0				
147	아티초크	18cm	3	0	0	0	0	0	0	3	0	23	27	0	0				
148	안젤리카	18cm	11	0	0	0	0	0	0	11	0	0	11	0	0				
149	애니시다	10cm	0	0	0	300	0	0	0	300	0	0	420	0	0				
150	애니시다	18cm	0	0	0	137	0	0	0	137	0	41	0	0	0				
151	애니시다	24cm	0	0	0	60	0	0	0	60	0	32	77	0	0				
152	애니시다	30cm	2	0	0	3	0	0	0	5	0	4	4	0	0				
153	애플민트	10cm	3974	0	0	1900	0	0	0	5874	250	18999	25779	0	5050		10000		
154	애플민트	18cm	23	0	0	0	0	0	0	23	5	53	95	0	0				
155	애플사이다제라늄	10cm	0	0	0	0	0	0	0	0	0	0	0	0	0	172	100		
156	애플사이다제라늄	18cm	41	0	0	60	0	0	0	101	0	146	100	0	10				
157	애플사이다제라늄	24cm	9	0	0	4	0	0	0	13	2	3	5	0	0				
158	애플제라늄	10cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
159	애플제라늄	18cm	8	0	0	54	0	0	0	62	0	112	0	0	0				
160	애플제라늄	24cm	4	0	0	56	0	0	0	60	0	4	0	0	0				
161	애플제라늄	30cm	1	0	0	5	0	0	0	6	0	0	5	0	0				
162	야로우	10cm	0	1960	0	0	0	0	0	1960	0	634	1960	0	0				
163	야로우	18cm	84	0	0	0	0	0	0	84	0	14	0	0	0				
164	양귀비	10cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
165	오데코롱민트	10cm	277	0	0	0	0	0	0	277	0	520	640	0	50		100		
166	오데코롱민트	18cm	100	0	0	0	0	0	0	100	0	0	0	0	0				
167	오데코롱민트(베트남)	10cm	0	0	0	0	0	0	0	0	0	60	0	0	0				
168	오레가노	10cm	90	0	0	0	0	0	0	90	0	644	2330	0	50				
169	오레가노	18cm	0	0	0	0	0	0	0	0	0	13	0	0	0				
170	오렌지타임	10cm	300	0	0	0	0	0	0	300	20	2524	175	0	0		5000		
171	오렌지타임	18cm	73	0	0	0	0	0	0	73	0	111	222	0	0				
172	옥잠화	24cm	0	0	0	0	47	0	0	47	0	0	1420	0	0				
173	올리브	18cm	-6	0	0	0	0	0	0	-6	0	37	0	0	0				
174	올리브	24cm	209	0	0	0	0	0	0	209	0	0	10	0	0				
175	올리브	30cm	17	0	0	0	0	0	0	17	0	0	17	0	0				
176	올리브	특대	4	0	0	0	0	0	0	4	2	0	6	0	0				
177	와일드스트로베리	10cm	0	0	0	0	0	0	0	0	0	123	200	0	0				
178	우단동자	10cm	400	0	0	0	0	0	0	400	0	20	275	0	0				
179	우단동자	18cm	310	0	0	0	0	0	0	310	0	168	835	0	0				
180	우단동자	24cm	0	0	0	0	0	0	0	0	0	6	159	0	0				
181	원추리	24cm	94	0	0	0	1208	0	0	1302	0	8	0	0	0				
182	윈터세이보리	10cm	150	0	0	0	0	0	0	150	0	0	150	0	0				
183	유럽제라늄	24cm	16	0	0	0	0	0	0	16	0	3	0	0	0				
184	율마	24cm	7	0	0	-1	0	0	0	6	5	16	5	0	0				
185	이탈리안파슬리	10cm	438	0	0	0	0	0	0	438	102	2087	2930	0	0				
186	일지매	18cm	0	0	0	65	0	0	0	65	0	0	0	0	0				
187	잉글리쉬라벤다	10cm	25217	700	6483	0	0	0	0	32400	221	23141	51162	0	50		10000		
188	잉글리쉬라벤다	15cm	0	0	2929	120	0	0	0	3049	0	10709	16728	20	0		5000		
189	잉글리쉬라벤다	18cm	166	13	4189	61	0	0	0	4429	0	3719	4863	10	1200				
190	잉글리쉬라벤다	24cm	7	15	97	0	0	0	0	119	0	173	630	0	0				
191	잉글리쉬라벤다	30cm	0	6	0	0	0	0	0	6	0	0	6	0	0				
192	장미허브	10cm	4033	0	0	4000	0	0	0	8033	20	5577	14100	0	5000		200		
193	장미허브	18cm	722	0	0	0	0	0	0	722	1	189	940	0	0				
194	장미허브	24cm	30	0	0	0	0	0	0	30	0	0	15	0	0				
195	잭폿탄지	10cm	179	0	0	0	0	0	0	179	0	81	260	0	0				
196	저먼캐모마일	10cm	1700	0	0	0	0	0	0	1700	60	4995	6820	0	50				
197	적쏘렐	10cm	2640	0	0	0	0	0	0	2640	0	190	2500	0	0				
198	쥬리안	10cm	0	0	0	0	0	0	0	0	0	20	0	0	0				
199	지브라말로우	10cm	130	0	0	0	0	0	0	130	0	120	250	0	0				
200	차빌	10cm	716	0	0	0	0	0	0	716	20	576	1960	0	0				
201	차빌	18cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
202	차이니즈세이지	10cm	0	0	0	0	0	0	0	0	0	0	20	0	0				
203	차이니즈세이지	18cm	17	0	0	0	0	0	0	17	0	1	18	0	0				
204	차이브	10cm	446	0	0	0	0	0	0	446	24	794	2240	0	100				
205	차이브	18cm	6	0	0	0	0	0	0	6	0	24	0	0	0				
206	청세이지	18cm	6	0	0	0	0	0	0	6	0	5	0	0	0				
207	청세이지	24cm	0	0	0	11	0	0	0	11	0	2	0	0	0				
208	청세이지	30cm	0	0	0	12	0	0	0	12	0	0	0	0	0				
209	체리세이지	10cm	0	1	0	0	0	0	0	1	0	100	3920	0	0		10000		
210	체리세이지	18cm	99	1193	0	407	0	0	0	1699	13	4616	4214	0	450				
211	체리세이지	24cm	33	268	0	0	0	0	0	301	0	913	1002	0	0				
212	체리세이지	30cm	9	233	0	0	0	0	0	242	0	195	293	0	10				
213	체리세이지	특대	2	0	0	0	0	0	0	2	0	1	0	0	0				
214	쵸코민트	10cm	344	0	0	0	0	0	0	344	0	2071	2520	0	50		1000		
215	쵸코민트	18cm	22	0	0	0	0	0	0	22	0	33	55	0	0				
216	캐러웨이	10cm	171	0	0	0	0	0	0	171	0	69	540	0	0				
217	캔들플랜트	10cm	220	0	0	0	0	0	0	220	0	80	620	0	0		200		
218	캔들플랜트	18cm	49	0	0	150	0	0	0	199	0	49	0	0	0				
219	캔들플랜트	24cm	3	0	0	0	0	0	0	3	0	7	0	0	0				
220	캘리포니아포피	10cm	64	0	0	0	0	0	0	64	0	6	100	0	0				
221	캣닙	10cm	85	0	0	0	0	0	0	85	0	325	410	0	0		1000		
222	커리플랜트	10cm	0	0	0	340	0	0	0	340	0	162	200	0	0		100		
223	커리플랜트	18cm	5	0	0	240	0	0	0	245	1	343	679	0	0				
224	커리플랜트	24cm	0	0	0	0	0	0	0	0	0	37	48	0	0				
225	커몬말로우	10cm	472	0	0	0	0	0	0	472	0	245	774	0	0				
226	커몬말로우	18cm	3	0	0	0	0	0	0	3	0	9	12	0	0				
227	커몬세이지	10cm	615	0	0	0	0	0	0	615	240	820	2228	0	0				
228	커몬세이지	18cm	1	0	0	0	0	0	0	1	0	20	93	0	0				
229	커몬타임	10cm	873	0	0	0	0	0	0	873	0	2084	3400	0	0				
230	코리안더(고수)	10cm	240	0	0	0	0	0	0	240	0	930	1690	0	0				
231	콘포피	10cm	0	0	0	0	0	0	0	0	0	2	90	0	0				
232	콘포피레드	10cm	20	0	0	0	0	0	0	20	0	0	30	0	0				
233	콘플라워믹스	10cm	0	0	0	0	0	0	0	0	0	0	240	0	0				
234	쿠페아(구피아)	18cm	37	0	0	4	0	0	0	41	0	21	0	0	0				
235	쿠페아(구피아)	30cm	1	0	0	0	0	0	0	1	0	1	0	0	0				
236	크라선세멈 옐로	10cm	0	0	0	0	0	0	0	0	0	106	1420	0	0				
237	크라선세멈 화이트	10cm	0	0	0	0	0	0	0	0	0	126	1759	0	0				
238	클라리세이지	10cm	110	0	0	0	0	0	0	110	0	519	1280	0	0				
239	클라리세이지	18cm	41	0	0	0	0	0	0	41	0	39	60	0	0				
240	클라리세이지핑크	10cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
241	클라리세이지핑크	18cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
242	클라리세이지핑크	24cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
243	클리핑로즈마리	10cm	0	0	0	400	0	0	0	400	0	0	2690	0	0			500	
244	클리핑로즈마리	15cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
245	클리핑로즈마리	18cm	152	0	0	0	1995	0	0	2147	53	230	2200	0	0				
246	클리핑로즈마리	24cm	22	0	0	0	-29	0	0	-7	69	499	244	2	0				
247	클리핑로즈마리	30cm	46	0	0	0	161	0	0	207	3	92	229	0	10				
248	클리핑로즈마리	특대	13	0	0	0	0	0	0	13	0	5	15	0	2				
249	클리핑타임	10cm	0	0	0	0	0	0	0	0	0	61	0	0	0		300		
250	타라곤	10cm	810	0	0	0	0	0	0	810	40	1	850	0	0				
251	타이바질	10cm	0	0	0	0	0	0	0	0	0	5	140	0	0				
252	타이바질	15cm	0	0	0	0	0	0	0	0	0	0	0	0	0				
253	탄지	10cm	246	0	0	0	0	0	0	246	0	74	320	0	0				
254	티트리	10cm	299	0	0	0	0	0	0	299	140	219	1260	0	0				
255	티트리	18cm	56	0	0	0	0	0	0	56	7	11	136	0	0				
