item_name,grade,zone,unit,current_stock
레몬타임,10cm,자스민,개,0
레몬타임,10cm,9연동,개,0
레몬타임,10cm,곤지암,개,0
레몬타임,10cm,대관령,개,0
레몬타임,10cm,평창,개,0
레몬타임,18cm,서울,개,125
레몬타임,18cm,10동,개,0
레몬타임,18cm,자스민,개,0
레몬타임,18cm,9연동,개,0
레몬타임,18cm,곤지암,개,0
레몬타임,18cm,대관령,개,0
레몬타임,18cm,평창,개,0
레이디스맨틀,10cm,서울,개,0
레이디스맨틀,10cm,10동,개,0
레이디스맨틀,10cm,자스민,개,0
레이디스맨틀,10cm,9연동,개,0
레이디스맨틀,10cm,곤지암,개,0
레이디스맨틀,10cm,대관령,개,0
레이디스맨틀,10cm,평창,개,0
로먼캐모마일,10cm,서울,개,937
로먼캐모마일,10cm,10동,개,0
로먼캐모마일,10cm,자스민,개,0
로먼캐모마일,10cm,9연동,개,0
로먼캐모마일,10cm,곤지암,개,0
로먼캐모마일,10cm,대관령,개,0
로먼캐모마일,10cm,평창,개,0
로즈마리,10cm,서울,개,11649
로즈마리,10cm,10동,개,0
로즈마리,10cm,자스민,개,0
로즈마리,10cm,9연동,개,800
로즈마리,10cm,곤지암,개,30
로즈마리,10cm,대관령,개,0
로즈마리,10cm,평창,개,0
로즈마리,15cm,서울,개,0
로즈마리,15cm,10동,개,0
로즈마리,15cm,자스민,개,0
로즈마리,15cm,9연동,개,0
로즈마리,15cm,곤지암,개,0
로즈마리,15cm,대관령,개,0
로즈마리,15cm,평창,개,0
로즈마리,18cm,서울,개,573
로즈마리,18cm,10동,개,0
로즈마리,18cm,자스민,개,0
로즈마리,18cm,9연동,개,0
로즈마리,18cm,곤지암,개,5750
로즈마리,18cm,대관령,개,0
로즈마리,18cm,평창,개,0
로즈마리,24cm,서울,개,2147
로즈마리,24cm,10동,개,0
로즈마리,24cm,자스민,개,0
로즈마리,24cm,9연동,개,0
로즈마리,24cm,곤지암,개,4484
로즈마리,24cm,대관령,개,0
로즈마리,24cm,평창,개,0
로즈마리,30cm,서울,개,20
로즈마리,30cm,10동,개,0
로즈마리,30cm,자스민,개,0
로즈마리,30cm,9연동,개,0
로즈마리,30cm,곤지암,개,359
로즈마리,30cm,대관령,개,0
로즈마리,30cm,평창,개,0
로즈마리,특대,서울,개,4
로즈마리,특대,10동,개,0
로즈마리,특대,자스민,개,0
로즈마리,특대,9연동,개,0
로즈마리,특대,곤지암,개,6
로즈마리,특대,대관령,개,0
로즈마리,특대,평창,개,0
로즈마리외대,15cm,서울,개,0
로즈마리외대,15cm,10동,개,0
로즈마리외대,15cm,자스민,개,0
로즈마리외대,15cm,9연동,개,0
로즈마리외대,15cm,곤지암,개,0
로즈마리외대,15cm,대관령,개,0
로즈마리외대,15cm,평창,개,0
로즈마리외대,18cm,서울,개,127
로즈마리외대,18cm,10동,개,0
로즈마리외대,18cm,자스민,개,0
로즈마리외대,18cm,9연동,개,0
로즈마리외대,18cm,곤지암,개,0
로즈마리외대,18cm,대관령,개,0
로즈마리외대,18cm,평창,개,0
로즈마리외대,24cm,서울,개,29
로즈마리외대,24cm,10동,개,0
